,rating,attitude,positve phrase,negative phrase,positive tags,negative tags:
0,6,0,"['Special effects', 'Visuals']","['Slow pacing', 'Stilted acting', 'Unoriginal character portrayal']","['Stunning Visuals', 'Stunning Visuals']","['Weak Plot', 'Subpar Acting', 'Subpar Acting']"
1,9,1,"['Adherence to original work', 'Flawless casting', 'Stunning cinematography', 'Entertaining and engaging', 'Keeps viewer wanting more']","['Expository scenes explain too much', 'Somber and ambient score', 'Some omissions from the novel']","['Faithful adaptation', 'Strong Performances', 'Stunning Visuals', 'Engaging Plot', 'Thought-Provoking Themes']","['Muddled Themes', 'Poor Audio Quality', 'Poor Adaptation']"
2,9,1,"['Visuals', 'Music', 'Epicness', 'Characters', 'Production value', 'Plot']",['None'],"['Stunning Visuals', 'Immersive Sound Design', 'Thought-Provoking Themes', 'Strong Performances', 'Impeccable Production', 'Engaging Plot']",['None']
3,9,1,"['Sound design', 'Visuals', 'Visual effects', 'Casting', 'Acting', 'Interesting story']",['Slow pacing'],"['Immersive Sound Design', 'Stunning Visuals', 'Stunning Visuals', 'Strong Performances', 'Strong Performances', 'Engaging Plot']",['Muddled Themes']
4,4,0,['visuals'],"['dull storytelling', 'plot details confusing', 'split into two parts']",['Stunning Visuals'],"['Weak Plot', 'Muddled Themes', 'Weak Plot']"
5,9,1,"['Cast', 'Visuals/cinematography', 'Sound design', ""Hans Zimmer's score""]",['Ending felt incomplete'],"['Strong Performances', 'Stunning Visuals', 'Immersive Sound Design', 'Immersive Sound Design']",['Weak Plot']
6,4,0,['   None'],"['Slow pace', 'Boring', 'Takes itself too serious', 'Lack of apparent reason', 'Uninspiring, repetitive storyline']",['None'],"['Weak Plot', 'Weak Plot', 'Weak Plot', 'Weak Plot', 'Weak Plot']"
7,1,0,['beautifully filmed'],"['boring', 'over-hyped', 'dull', 'lacks star presence', 'not engaging for Star Wars or 2001 fans']",['Stunning Visuals'],"['Weak Plot', 'Subpar Acting', 'Lackluster Cinematography', 'Muddled Themes', 'Muddled Themes']"
8,9,1,"['Captures atmosphere of book series', 'Visually stunning', 'Time passes quickly']",['None'],"['Faithful adaptation', 'Stunning Visuals', 'Thought-Provoking Themes']",['None']
9,10,1,"['Visually stunning', 'Good action', 'Well directed', 'Believable acting', 'Intriguing world-building']",['None'],"['Stunning Visuals', 'Engaging Plot', 'Thought-Provoking Themes', 'Strong Performances', 'Impeccable Production']",['None']
10,8,1,"['Cinematics', 'CGI', 'Sticks mostly to books', 'Beautiful movie', 'Visuals']","['Slow paced', 'Lacks Duneness', 'Missed opportunities', 'Could be more intense', 'Fremens lack punch']","['Impeccable Production', 'Impeccable Production', 'Faithful adaptation', 'Stunning Visuals', 'Stunning Visuals']","['Muddled Themes', 'Muddled Themes', 'Poor Audio Quality', 'Poor Adaptation', 'Subpar Acting']"
